,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-2720012228333470715,Nubank começa a testar seu programa de fidelidade - Empresas Tech,CMN regulamenta abertura de conta de depósito por meio eletrônico,Mobile banking conquista o coração dos brasileiros,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Say goodbye to traditional customer segmentation "" Banking Technology",PwC faz virada digital e já fatura US$ 1 bilhão no mundo
-2683134512107439488,Mary Meeker's essential 2016 Internet Trends Report,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,The return of the machinery question,Par de alianças impede que seu parceiro assista Netflix sem você
-2667874153709252756,Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits,A New Number Format for Computers Could Nuke Approximation Errors for Good,"Para neurociência, motivação não é fator principal em mudança de hábitos",What Google AMP Means for Every Marketer,Digital Health Coaching,Nespresso
-2584174137395076448,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",Bradesco vai lançar novo banco digital: o Next.,Facebook is open-sourcing its AI bot-building research,Nubank pode fechar as portas se BC confirmar mudança amanhã,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Visa lança desafio para startups de tecnologia - Startupi
-2554512494756911972,How enterprise architects can help ensure success with digital transformations,Blaise Agüera y Arcas: How computers are learning to be creative,The Internet of Things is looking for its VisiCalc,Artificial intelligence produces realistic sounds that fool humans,Nintendo has doubled in value since Pokémon Go's release,Two Different Sales Motions . . . .
-2549933363319068481,The real reasons you procrastinate - and how to stop,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule",How to Design a Walkthrough That Users Will Read,The AI business landscape,The End Of Apple Man
-2539915991213675511,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Itaú é pioneiro do blockchain,Confused by blockchains? Revolution vs Evolution,Nubank pode fechar as portas se BC confirmar mudança amanhã,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,The Drive to Bank on Digital
-2504825704002833401,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Advanced Android Espresso,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Microservices Architecture on Google App Engine,The Internet of Things is looking for its VisiCalc
-2479936301516183562,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello","Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",The technology behind preview photos,Anti-If: The missing patterns,Effective learning through code workshops | Box Blog
-2447632164766022033,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Migrating from Parse to Bluemix,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Introducing New Relic Infrastructure,Chrome OS now has Material Design for the desktop,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com
-2440247087447106971,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Testes unitários vs aceitação - Android Dev BR,My favorite people and resources to learn Android programming from,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,The Ten Commandments of Egoless Programming
-2402288292108892893,Como testar exceções em Java com o JUnit - Code a Test,Don't document your code. Code your documentation.,Using DiffUtil in Android RecyclerView,IoT a favor do relacionamento médico-paciente,Listas com RecyclerView - Android Dev BR,Testes unitários vs aceitação - Android Dev BR
-2382583983070627054,Artificial intelligence produces realistic sounds that fool humans,Blaise Agüera y Arcas: How computers are learning to be creative,The return of the machinery question,Two Different Sales Motions . . . .,How will bots make money? Here are 7 business models,The barbell effect of machine learning.
-2358756719610361882,Custo do Erro - Cinco motivos para investir em automação de testes,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Closure Compiler in JavaScript,Spark comparison: AWS vs. GCP
-2328163218997425612,Quick Tip: Working with the JavaScript Battery API,Comparing React.js to Vue.js for dynamic tabular data,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Vision API - Image Content Analysis,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,"A whole new GitHub Universe: announcing new tools, forums, and features"
-2314360211211303885,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Promoting gender equality through emoji �� ��,#iLookLikeAnEngineer: One Year Later,Criadas para casar,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!"
-2271000159302779222,The moment when you realize every server in the world is vulnerable - Free Code Camp,Dark Scrum,Prisma for Android is now live for all in the Google Play Store,Sam Newman - Backends For Frontends,New MacBook Pro is not a Laptop for Developers Anymore,Lists are the new search
-2097075598039554565,"The Languages, Frameworks and Tools You Should Learn in 2017",19 Tips For Everyday Git Use,7 Tips to Create a Company Learning Culture like Google - Without Resources,The Business Case for Progressive Web Apps,Hype Driven Development,Effective learning through code workshops | Box Blog
-2069509552243850466,Contêiner do Windows no Windows 10,"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",Top Programming Languages Trends: The Rise of Big Data,15 minutos sobre Docker,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,Most Interesting APIs in 2016: Cognitive Computing
-2034054811536485879,Aplicação de visão computacional com OpenCV,Google lança experimentos com inteligência artificial | Google Discovery,"Autofill: What web devs should know, but don't",15 Awesome Sublime Text Plugins For Web Development,Microsoft expands its support for Docker containers,Acesse a versão Material Design do YouTube | Google Discovery
-2030742781169834114,Facebook says its new AI is almost as good as humans at understanding context,Google is quietly recording everything you say. Here's how to hear it,Blaise Agüera y Arcas: How computers are learning to be creative,How will bots make money? Here are 7 business models,7 Questions to Ask Before Your Next Digital Transformation,Why Deep Learning Is Suddenly Changing Your Life
-1999468346928419252,"Docker - Build, Ship, and Run Any App, Anywhere",Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Most Interesting APIs in 2016: Cognitive Computing,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa lança desafio para startups de tecnologia - Startupi
-1995591062742965408,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Up your app's sharing game with DirectShare - Google Developers,My favorite people and resources to learn Android programming from,StrictMode for Runtime Analysis on Android - Google Developers,The Importance of Code Reviews
-1981734999963962468,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Google lags behind Amazon and Microsoft's cloud in one important area,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,The AI business landscape,Why Google App Engine rocks: A Google engineer's take,Spark comparison: AWS vs. GCP
-1901742495252324928,Designing smart notifications,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Up your app's sharing game with DirectShare - Google Developers,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Building more accessible technology
-1878128207048892154,The Ten Commandments of Egoless Programming,Build Quality In: The Key to Continuous Delivery in Kanban,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,The technology behind preview photos,Evernote anuncia integração com Google Drive | Google Discovery,Building interfaces with ConstraintLayout - Google Developers
-1787737696395220629,Laboratório da Disney cria robô que pula,Peças Translúcidas,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",DBA BRASIL no INTEROPMIX 2016,O chefe é gay. E daí?,15 Awesome Sublime Text Plugins For Web Development
-1730766821655383888,Accidental discovery could help batteries last years longer,Facebook's WhatsApp does something very different than Google,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Quando o Scrum irá falhar - Tableless,Announcing .NET Core 1.0
-1663441888197894674,Nubank pode fechar as portas se BC confirmar mudança amanhã,Visa lança desafio para startups de tecnologia - Startupi,Accenture amplia atuação no Brasil,You won't recognize the new world of digital payments without this report,How This Former Google Engineer Is Bringing Blockchain to Banks,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
-1654063646246197191,Big IT Rising,An operating model for company-wide agile development,An operating model for company-wide agile development,Embracing Agile,You won't recognize the new world of digital payments without this report,Rewiring Citi for the digital age
-1634742667970363668,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Microsoft's Open Source Love Affair Reaches New Heights,Advanced Android Espresso,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
-1633984990770981161,UX ou UI?,Quando usar paginação e quando usar scroll infinito?,O tênue equilíbrio da equipe que desenha produtos digitais,The Future of Business is Design,Chatbots: Are they better without the chat?,Branding é problema seu. E meu.
